模型,最大点击滞后天数,变量,变量类型,系数单位,系数,HAC标准误,t值,p值,95%置信区间下限,95%置信区间上限,VIF,样本量,R2,调整R2
敏感性模型_lag0至7,7,星期_周日,星期控制变量,相对基准组的注册数差异,-2.35589553458,9.82361190833,-0.239819687154,0.810618041035,-21.6802669031,16.9684758339,2.49320856209,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_2月,月份控制变量,相对基准组的注册数差异,-10.9817121716,32.3633466944,-0.339325604219,0.7345789953,-74.644786007,52.6813616637,2.06004522796,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_3月,月份控制变量,相对基准组的注册数差异,-39.082860343,69.1106421379,-0.565511462982,0.572107902286,-175.032827285,96.8671065988,3.04803127025,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_4月,月份控制变量,相对基准组的注册数差异,-119.806866682,32.0932422651,-3.73308703722,0.000222491364838,-182.938608626,-56.6751247386,2.18093970105,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_5月,月份控制变量,相对基准组的注册数差异,-118.457307275,37.4900099486,-3.15970327661,0.00172456515309,-192.205220121,-44.7093944282,2.36724399838,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_6月,月份控制变量,相对基准组的注册数差异,-101.101944011,27.1996952594,-3.71702488014,0.000236509936442,-154.607418088,-47.5964699345,2.08238882668,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_7月,月份控制变量,相对基准组的注册数差异,-125.908539593,30.9779024681,-4.06446303855,6.01526638184e-05,-186.846257522,-64.9708216647,2.11188324006,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_8月,月份控制变量,相对基准组的注册数差异,-210.35659884,50.0051511934,-4.20669858645,3.33795560412e-05,-308.723484769,-111.989712911,3.13734132853,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_9月,月份控制变量,相对基准组的注册数差异,-46.3049150253,37.380901584,-1.23873189418,0.216319887617,-119.838196983,27.2283669324,2.31794976678,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_10月,月份控制变量,相对基准组的注册数差异,-70.6397528895,27.834841003,-2.53781772571,0.0116113955283,-125.394644425,-15.8848613544,2.12389775626,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_11月,月份控制变量,相对基准组的注册数差异,-48.8834775815,29.9911346361,-1.62993091708,0.104064442103,-107.880089915,10.1131347518,2.16553623366,358,0.721648525988,0.700688324632
敏感性模型_lag0至7,7,月份_12月,月份控制变量,相对基准组的注册数差异,-80.3094689902,30.5835878462,-2.62590083917,0.00904219676196,-140.471516803,-20.1474211778,2.23925390274,358,0.721648525988,0.700688324632
